Time,Open,High,Low,Close,Volume,Symbol
2025-05-20 09:15:00,15.959,15.975,15.9,15.9,6770.0,LINKUSDT_UMCBL
2025-05-20 09:20:00,15.9,15.911,15.873,15.886,3812.0,LINKUSDT_UMCBL
2025-05-20 09:25:00,15.886,15.886,15.841,15.859,3298.0,LINKUSDT_UMCBL
2025-05-20 09:30:00,15.859,15.898,15.857,15.89,4731.0,LINKUSDT_UMCBL
2025-05-20 09:35:00,15.89,15.908,15.889,15.901,6677.0,LINKUSDT_UMCBL
2025-05-20 09:40:00,15.901,15.906,15.886,15.89,210.0,LINKUSDT_UMCBL
2025-05-20 09:45:00,15.89,15.893,15.872,15.872,3442.0,LINKUSDT_UMCBL
2025-05-20 09:50:00,15.872,15.886,15.835,15.841,2825.0,LINKUSDT_UMCBL
2025-05-20 09:55:00,15.841,15.846,15.827,15.845,1915.0,LINKUSDT_UMCBL
2025-05-20 10:00:00,15.845,15.858,15.829,15.846,1119.0,LINKUSDT_UMCBL
2025-05-20 10:05:00,15.846,15.883,15.804,15.871,11990.0,LINKUSDT_UMCBL
2025-05-20 10:10:00,15.871,15.871,15.764,15.816,14054.0,LINKUSDT_UMCBL
2025-05-20 10:15:00,15.816,15.826,15.761,15.762,4462.0,LINKUSDT_UMCBL
2025-05-20 10:20:00,15.762,15.805,15.731,15.801,2843.0,LINKUSDT_UMCBL
2025-05-20 10:25:00,15.801,15.801,15.75,15.78,726.0,LINKUSDT_UMCBL
2025-05-20 10:30:00,15.78,15.78,15.713,15.731,13020.0,LINKUSDT_UMCBL
2025-05-20 10:35:00,15.731,15.769,15.726,15.726,3413.0,LINKUSDT_UMCBL
2025-05-20 10:40:00,15.726,15.759,15.71,15.755,6074.0,LINKUSDT_UMCBL
2025-05-20 10:45:00,15.755,15.772,15.684,15.726,18861.0,LINKUSDT_UMCBL
2025-05-20 10:50:00,15.726,15.74,15.717,15.734,3024.0,LINKUSDT_UMCBL
2025-05-20 10:55:00,15.734,15.748,15.706,15.732,3112.0,LINKUSDT_UMCBL
2025-05-20 11:00:00,15.732,15.732,15.68,15.684,906.0,LINKUSDT_UMCBL
2025-05-20 11:05:00,15.684,15.693,15.658,15.658,7669.0,LINKUSDT_UMCBL
2025-05-20 11:10:00,15.658,15.683,15.621,15.636,7528.0,LINKUSDT_UMCBL
2025-05-20 11:15:00,15.636,15.642,15.574,15.585,13037.0,LINKUSDT_UMCBL
2025-05-20 11:20:00,15.585,15.585,15.534,15.552,9440.0,LINKUSDT_UMCBL
2025-05-20 11:25:00,15.552,15.64,15.549,15.632,11103.0,LINKUSDT_UMCBL
2025-05-20 11:30:00,15.632,15.709,15.632,15.696,9262.0,LINKUSDT_UMCBL
2025-05-20 11:35:00,15.696,15.727,15.693,15.727,9221.0,LINKUSDT_UMCBL
2025-05-20 11:40:00,15.727,15.757,15.715,15.755,7139.0,LINKUSDT_UMCBL
2025-05-20 11:45:00,15.755,15.755,15.706,15.715,3423.0,LINKUSDT_UMCBL
2025-05-20 11:50:00,15.715,15.715,15.678,15.683,5888.0,LINKUSDT_UMCBL
2025-05-20 11:55:00,15.683,15.684,15.663,15.673,579.0,LINKUSDT_UMCBL
2025-05-20 12:00:00,15.673,15.673,15.609,15.614,4754.0,LINKUSDT_UMCBL
2025-05-20 12:05:00,15.614,15.626,15.592,15.603,14477.0,LINKUSDT_UMCBL
2025-05-20 12:10:00,15.603,15.623,15.594,15.614,2840.0,LINKUSDT_UMCBL
2025-05-20 12:15:00,15.614,15.644,15.611,15.615,3339.0,LINKUSDT_UMCBL
2025-05-20 12:20:00,15.615,15.621,15.561,15.564,10365.0,LINKUSDT_UMCBL
2025-05-20 12:25:00,15.564,15.589,15.552,15.56,7257.0,LINKUSDT_UMCBL
2025-05-20 12:30:00,15.56,15.58,15.523,15.531,8582.0,LINKUSDT_UMCBL
2025-05-20 12:35:00,15.531,15.532,15.462,15.483,12270.0,LINKUSDT_UMCBL
2025-05-20 12:40:00,15.483,15.502,15.457,15.502,2525.0,LINKUSDT_UMCBL
2025-05-20 12:45:00,15.502,15.526,15.483,15.512,4403.0,LINKUSDT_UMCBL
2025-05-20 12:50:00,15.512,15.57,15.5,15.55,11777.0,LINKUSDT_UMCBL
2025-05-20 12:55:00,15.55,15.554,15.518,15.536,5005.0,LINKUSDT_UMCBL
2025-05-20 13:00:00,15.536,15.587,15.534,15.578,5910.0,LINKUSDT_UMCBL
