2025-05-21 18:52:52,105 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 18:52:57,169 - INFO - Data saved to market_data.csv
2025-05-21 19:12:50,162 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:12:54,800 - INFO - Data saved to market_data.csv
2025-05-21 19:30:48,224 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:30:52,588 - INFO - Data saved to market_data.csv
2025-05-21 19:31:11,111 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:31:14,614 - INFO - Data saved to market_data.csv
2025-05-21 19:32:43,058 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:32:46,267 - INFO - Data saved to market_data.csv
2025-05-21 19:33:49,777 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:33:55,299 - INFO - Data saved to market_data.csv
2025-05-21 19:35:40,222 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:35:44,837 - INFO - Data saved to market_data.csv
2025-05-22 21:10:01,435 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 21:10:05,899 - INFO - Data saved to market_data.csv
2025-05-22 22:16:15,439 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 22:16:18,901 - INFO - Data saved to market_data.csv
2025-05-22 23:27:36,135 - INFO - Starting LHL Pattern Trading Bot...
2025-05-22 23:27:36,137 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-23 00:14:54,326 - INFO - Current Price: 16.979, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:15:24,638 - INFO - Current Price: 16.994, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:15:54,900 - INFO - Current Price: 16.969, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:16:25,172 - INFO - Current Price: 16.955, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:16:55,505 - INFO - Current Price: 16.962, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:17:25,883 - INFO - Current Price: 16.963, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:17:56,194 - INFO - Current Price: 16.963, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:18:26,507 - INFO - Current Price: 16.956, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:18:56,773 - INFO - Current Price: 16.954, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:19:27,127 - INFO - Current Price: 16.947, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:19:57,457 - INFO - Current Price: 16.942, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:20:27,861 - INFO - Current Price: 16.946, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:20:58,266 - INFO - Current Price: 16.939, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:21:28,542 - INFO - Current Price: 16.925, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:21:58,890 - INFO - Current Price: 16.929, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:22:29,199 - INFO - Current Price: 16.928, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:22:59,472 - INFO - Current Price: 16.93, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:23:29,771 - INFO - Current Price: 16.935, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:24:00,133 - INFO - Current Price: 16.931, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:24:30,449 - INFO - Current Price: 16.951, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:25:00,756 - INFO - Current Price: 16.946, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:25:31,272 - INFO - Current Price: 16.93, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:26:01,584 - INFO - Current Price: 16.93, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:26:32,261 - INFO - Current Price: 16.908, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:27:02,617 - INFO - Current Price: 16.909, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:27:32,927 - INFO - Current Price: 16.889, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:28:03,238 - INFO - Current Price: 16.886, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:28:33,510 - INFO - Current Price: 16.872, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:29:03,874 - INFO - Current Price: 16.86, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:29:34,755 - INFO - Current Price: 16.867, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:30:05,048 - INFO - Current Price: 16.877, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:30:35,412 - INFO - Current Price: 16.852, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:31:05,722 - INFO - Current Price: 16.888, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:31:36,040 - INFO - Current Price: 16.87, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:32:06,319 - INFO - Current Price: 16.857, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:32:31,846 - INFO - Bot shutdown requested by user...
2025-05-23 00:32:31,847 - INFO - Bot shutting down...
2025-05-23 00:32:53,806 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-23 00:32:57,230 - INFO - Data saved to market_data.csv
2025-05-23 00:33:14,580 - INFO - Starting LHL Pattern Trading Bot...
2025-05-23 00:33:14,581 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-23 00:33:18,447 - INFO - Bot initialized successfully, entering main loop...
2025-05-23 00:33:18,845 - INFO - Current Price: 16.836, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:33:49,266 - INFO - Current Price: 16.811, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:34:19,983 - INFO - Current Price: 16.803, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:34:50,305 - INFO - Current Price: 16.812, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:35:20,690 - INFO - Current Price: 16.839, Position: No, S1: 16.634, R1: 16.798
